accession,phylum,class,order,family,genus
KM879463,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
KJ608188,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
CP008753,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
KJ473422,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KJ473423,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KJ716335,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya
KJ858521,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
KM051843,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF771236,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF771237,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF771238,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF771239,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF301602,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter
JQ309827,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
KF554508,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KJ920400,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KJ817802,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KJ010489,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
KF356198,Cyanobacteria,,Nostocales,Nostocaceae,Trichormus
KJ094032,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
KJ489397,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KJ621082,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter
KJ127303,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
KC556893,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
KC556894,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
KC556895,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
KC556896,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
KC556898,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
KF582788,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ451625,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC688701,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter
KF296718,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF623294,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
KF806588,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
KF806589,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
KF811200,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KJ101592,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
HG818823,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
HG818824,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter
HG813241,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
KF772233,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
KF772234,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
KF787095,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
KF787094,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter
KF728385,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
KF733017,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
KF692088,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
KF700371,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
KC481682,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669647,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669648,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669649,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669650,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter
KF669651,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669652,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669655,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669656,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KF669657,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669658,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KF669659,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669660,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669661,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669662,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF669663,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
HG428758,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella
KC853746,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
KF208639,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KF148616,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
KC595518,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
AP013029,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC821604,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821607,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821608,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821609,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821610,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821611,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821612,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821613,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821614,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821615,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821616,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821617,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821618,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821619,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821620,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821621,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821622,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821624,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821625,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821626,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821627,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821629,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821630,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821632,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821633,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
KC821634,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga
JF974294,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
KF005318,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
KF005319,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
KF005320,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
JX094500,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
KF005317,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
JX658790,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KC462197,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
AP013057,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella
KC237729,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium
KC685370,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JX094431,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
AB711120,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
JQ691611,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
KC330679,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC330680,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC330681,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC330683,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC330684,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
KC465898,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter
KC465899,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter
KC465900,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter
KC465901,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Candidatus Pelagibacter
KC311669,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
KC107834,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter
JX238501,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
